1,Ramona the Pest,Beverly Cleary,Grupo Planeta,Horror,26
2,Walk Two Moons,Sharon Creech,Houghton Mifflin,Allegaries,23
3,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Scholastic,Mystery/Detective,12
4,The Chocolate War,Robert Cormier,Hachette Livre,Historical,12
5,Sophie's Choice,William Styron,Scholastic,Coming of age,21
6,Looking for Alaska,John Green,Hachette Livre,Historical,0
7,Breakfast at Tiffany's,Truman Capote,Wiley,Fantasy,3
8,The Razor's Edge,W. Somerset Maugham,Grupo Planeta,Science Fiction,22
9,Dreamcatcher,Stephen King,Pearson,Action and Adventure,14
10,Orlando,Virginia Woolf,Scholastic,Romance,25
11,The Things they Carried,Tim O'Brien,Bertelsmann,Action and Adventure,8
12,Little Town on the Prairie,Laura Ingalls Wilder,Pearson,Political,19
13,Nights in Rodanthe,Nicholas Sparks,Bertelsmann,Horror,15
14,The Amber Spyglass,Philip Pullman,RELX Group,War,18
15,The Miraculous Journey of Edward Tulane,Kate DiCamillo,Springer Nature,Coming of age,7
16,Flatland,Edwin A. Abbott,McGraw-Hill Education,Romance,19
17,Diary of a Wimpy Kid,Jeff Kinney,Thomson Reuters*,Allegaries,1
18,The Memory Keeper's Daughter,Kim Edwards,Kadokawa Publishing,Historical,17
19,The Wedding,Nicholas Sparks,Scholastic,Political,4
20,Fried Green Tomatoes at the Whistle-Stop Cafe,Fannie Flagg,Cengage Learning,Romance,3
21,The Cricket in Times Square,George Selden,Oxford University,Mystery/Detective,17
22,The Phantom Tollbooth,Norton Juster,Cengage Learning,Action and Adventure,9
23,Rob Roy,Walter Scott,Kodansha,Allegaries,3
24,The Death of Ivan Ilych,Leo Tolstoy,Grupo Planeta,Mystery/Detective,22
25,Alex Cross's Trial,James Patterson,Hachette Livre,Horror,8
26,Kenilworth,Walter Scott,Hachette Livre,Action and Adventure,7
27,The Life and Opinions of Tristram Shandy,Laurence Sterne,Springer Nature,Horror,22
28,The Remains of theDay,Kazuo Ishiguro,Grupo Planeta,Political,2
29,"M.C. Higgins, The Great",Virginia Hamilton,Shueisha,Coming of age,27
30,Call It Courage,Armstrong Sperry,HarperCollins,War,8
31,Go Set a Watchman,Harper Lee,Grupo Planeta,Mystery/Detective,17
32,Bleachers,John Grisham,Scholastic,War,14
33,Elijah of Buxton,Christopher Paul Curtis,Press,Action and Adventure,0
34,Swimsuit,James Patterson,RELX Group,Historical,24
35,Cat's Cradle,Kurt Vonnegut,Thomson Reuters*,Mystery/Detective,19
36,The Caine Mutiny,Herman Wouk,Kodansha,War,5
37,The Heart of the Matter,Graham Greene,Oxford University,Allegaries,2
38,"Harriet, the Spy",Louise Fitzhugh,HarperCollins,Thriller,16
39,Darkness at Noon,Arthur Koestler,Wiley,Romance,11
40,A Prayer for Owen Meany,John Irving,Wiley,Political,5
41,The God of Small Things,Arundhati Roy,Scholastic,Historical,4
42,The Associate,John Grisham,Wiley,Thriller,14
43,The Shack,William P. Young,Informa,Coming of age,0
44,The Naked and the Dead,Norman Mailer,Grupo Planeta,Fantasy,21
45,The Sea of Monsters,Rick Riordan,Thomson Reuters*,War,13
46,Stranger in a Strange Land,Robert A. Heinlein,Thomson Reuters*,Coming of age,8
47,Vision in White,Nora Roberts,Scholastic,Historical,6
48,The Whipping Boy,Sid Fleischman,Kadokawa Publishing,Autobiographical,10
49,Room,Emma Donoghue,Scholastic,Historical,9
50,Deception Point,Dan Brown,Cengage Learning,War,3
